Strike,Last,% From Last,Bid,Midpoint,Ask,Change,%Chg,IV,Volume,Open Int,Type,Time
222.50,0.05,9.22 %,0.03,0.04,0.05,0.01,25.00 %,45.37 %,1548,896,Call,13:50 ET
225.00,0.04,10.45 %,0.03,0.04,0.04,0.01,33.33 %,48.72 %,305,"1,227",Call,13:41 ET
230.00,0.03,12.91 %,0.02,0.03,0.03,0.01,50.00 %,55.83 %,1206,"3,313",Call,13:52 ET
150.00,0.01,-26.37 %,0.00,0.01,0.01,0.00,unch,116.45 %,1,868,Put,13:20 ET
155.00,0.01,-23.91 %,0.00,0.01,0.01,-0.04,-80.00 %,0.00 %,5,585,Put,06/22/20
157.50,0.01,-22.68 %,0.00,0.01,0.01,-0.04,-80.00 %,0.00 %,661,"1,045",Put,06/22/20
160.00,0.01,-21.46 %,0.00,0.01,0.01,-0.01,-50.00 %,93.64 %,1,840,Put,09:59 ET
162.50,0.02,-20.23 %,0.00,0.01,0.02,-0.04,-66.67 %,0.00 %,6,476,Put,06/22/20
165.00,0.01,-19.00 %,0.00,0.01,0.01,0.00,unch,82.65 %,21,781,Put,13:20 ET
167.50,0.01,-17.78 %,0.00,0.01,0.01,-0.03,-75.00 %,77.24 %,20,717,Put,13:41 ET
170.00,0.02,-16.55 %,0.01,0.02,0.02,-0.02,-50.00 %,77.21 %,169,"2,046",Put,13:07 ET
172.50,0.03,-15.32 %,0.02,0.03,0.03,0.00,unch,74.96 %,99,"4,361",Put,13:45 ET
175.00,0.03,-14.09 %,0.03,0.04,0.04,-0.03,-50.00 %,69.16 %,252,"3,650",Put,13:56 ET
177.50,0.04,-12.87 %,0.03,0.04,0.04,-0.04,-50.00 %,65.71 %,162,"2,062",Put,13:19 ET
180.00,0.05,-11.64 %,0.04,0.05,0.05,-0.03,-37.50 %,61.62 %,454,"3,365",Put,13:50 ET
182.50,0.06,-10.41 %,0.05,0.06,0.06,-0.06,-50.00 %,57.05 %,375,"2,406",Put,13:52 ET
185.00,0.08,-9.18 %,0.07,0.08,0.08,-0.08,-50.00 %,53.21 %,1236,"6,512",Put,13:56 ET
187.50,0.11,-7.96 %,0.10,0.11,0.11,-0.12,-52.17 %,49.44 %,2142,"4,663",Put,13:52 ET
190.00,0.16,-6.73 %,0.15,0.16,0.16,-0.18,-52.94 %,45.95 %,2629,"5,406",Put,13:58 ET
192.50,0.23,-5.50 %,0.23,0.24,0.24,-0.33,-58.93 %,42.10 %,2949,"4,205",Put,13:57 ET
195.00,0.37,-4.28 %,0.37,0.38,0.38,-0.56,-60.22 %,39.10 %,5759,"7,351",Put,13:57 ET
197.50,0.63,-3.05 %,0.62,0.63,0.63,-0.82,-56.55 %,36.64 %,4889,"4,172",Put,13:58 ET
200.00,1.08,-1.82 %,1.08,1.09,1.09,-1.34,-55.37 %,34.42 %,8236,"2,402",Put,13:57 ET
202.50,1.86,-0.59 %,1.85,1.87,1.89,-1.79,-49.04 %,32.93 %,4253,"1,553",Put,13:56 ET
205.00,3.10,0.63 %,3.05,3.10,3.15,-2.25,-42.06 %,32.51 %,1043,"1,174",Put,13:56 ET
207.50,4.64,1.86 %,4.70,4.75,4.80,-3.51,-43.07 %,30.41 %,832,257,Put,13:51 ET
210.00,6.60,3.09 %,6.70,6.80,6.90,-3.40,-34.00 %,28.51 %,112,48,Put,13:54 ET
212.50,9.40,4.31 %,8.95,9.08,9.20,-5.24,-35.79 %,43.95 %,30,6,Put,13:25 ET
215.00,11.25,5.54 %,11.10,11.27,11.45,-4.76,-29.73 %,20.94 %,15,7,Put,13:54 ET
217.50,24.41,6.77 %,13.60,13.93,14.25,24.41,unch,42.08 %,8,28,Put,06/16/20
220.00,20.25,8.00 %,16.15,16.33,16.50,-7.45,-26.90 %,39.30 %,2,12,Put,06/22/20
222.50,20.83,9.22 %,18.50,18.75,19.00,-1.52,-6.80 %,107.18 %,1,7,Put,09:48 ET
225.00,22.55,10.45 %,21.05,21.40,21.75,-2.67,-10.59 %,98.24 %,1,201,Put,11:04 ET
230.00,30.00,12.91 %,25.95,26.20,26.45,-3.80,-11.24 %,42.88 %,6,6,Put,06/22/20
