Symbol,Strike,Last,% From Last,Bid,Midpoint,Ask,Change,%Chg,IV,Volume,Open Int,Type,DTE,Exp Date,Time,Avg IV
AAPL|20200626|245.00C,245.00,99.61,-31.73%,113.45,114.08,114.70,99.61,unch,0.00%,0,0,Call,4,06/26/20,N/A,31.73%
AAPL|20200626|250.00C,250.00,106.95,-30.34%,107.75,108.73,109.70,17.67,+19.79%,0.00%,2,56,Call,4,06/26/20,06/22/20,31.73%
AAPL|20200626|255.00C,255.00,97.90,-28.94%,103.20,103.95,104.70,21.93,+28.87%,0.00%,1,21,Call,4,06/26/20,06/22/20,31.73%
AAPL|20200626|260.00C,260.00,96.55,-27.55%,97.75,98.73,99.70,2.82,+3.01%,0.00%,6,32,Call,4,06/26/20,06/22/20,31.73%
AAPL|20200626|265.00C,265.00,91.59,-26.16%,93.25,93.95,94.65,10.79,+13.35%,0.00%,6,23,Call,4,06/26/20,06/22/20,31.73%
AAPL|20200626|270.00C,270.00,86.64,-24.76%,88.25,89.03,89.80,9.84,+12.81%,0.00%,9,45,Call,4,06/26/20,06/22/20,31.73%
AAPL|20200626|275.00C,275.00,83.30,-23.37%,83.50,84.05,84.60,4.00,+5.04%,0.00%,62,146,Call,4,06/26/20,06/22/20,31.73%
AAPL|20200626|277.50C,277.50,81.35,-22.67%,80.75,81.63,82.50,8.35,+11.44%,0.00%,6,32,Call,4,06/26/20,06/22/20,31.73%
AAPL|20200626|280.00C,280.00,78.03,-21.98%,78.40,79.05,79.70,9.38,+13.66%,0.00%,78,142,Call,4,06/26/20,06/22/20,31.73%
AAPL|20200626|282.50C,282.50,74.89,-21.28%,75.10,76.28,77.45,5.14,+7.37%,0.00%,1,17,Call,4,06/26/20,06/22/20,31.73%
AAPL|20200626|285.00C,285.00,74.10,-20.58%,73.65,74.15,74.65,12.03,+19.38%,0.00%,18,89,Call,4,06/26/20,06/22/20,31.73%
AAPL|20200626|287.50C,287.50,66.85,-19.89%,70.80,71.65,72.50,2.45,+3.80%,0.00%,5,120,Call,4,06/26/20,06/19/20,31.73%
AAPL|20200626|290.00C,290.00,68.87,-19.19%,68.40,69.05,69.70,9.57,+16.14%,0.00%,9,98,Call,4,06/26/20,06/22/20,31.73%
AAPL|20200626|292.50C,292.50,45.77,-18.49%,65.70,66.68,67.65,45.77,unch,0.00%,0,50,Call,4,06/26/20,N/A,31.73%
AAPL|20200626|295.00C,295.00,62.70,-17.80%,63.45,64.03,64.60,9.05,+16.87%,0.00%,25,128,Call,4,06/26/20,06/22/20,31.73%
AAPL|20200626|297.50C,297.50,61.80,-17.10%,60.70,61.68,62.65,8.88,+16.78%,0.00%,4,212,Call,4,06/26/20,06/22/20,31.73%
AAPL|20200626|300.00C,300.00,58.65,-16.40%,58.45,59.05,59.65,8.44,+16.81%,0.00%,528,419,Call,4,06/26/20,06/22/20,31.73%
AAPL|20200626|302.50C,302.50,55.20,-15.71%,56.10,56.63,57.15,9.00,+19.48%,0.00%,39,467,Call,4,06/26/20,06/22/20,31.73%
AAPL|20200626|305.00C,305.00,52.00,-15.01%,53.45,54.13,54.80,8.08,+18.40%,0.00%,29,1.042,Call,4,06/26/20,06/22/20,31.73%
AAPL|20200626|307.50C,307.50,51.40,-14.31%,50.95,51.63,52.30,10.40,+25.37%,0.00%,37,157,Call,4,06/26/20,06/22/20,31.73%
AAPL|20200626|310.00C,310.00,48.56,-13.62%,48.80,49.28,49.75,9.01,+22.78%,0.00%,155,681,Call,4,06/26/20,06/22/20,31.73%
AAPL|20200626|312.50C,312.50,46.12,-12.92%,45.95,46.83,47.70,9.07,+24.48%,0.00%,389,611,Call,4,06/26/20,06/22/20,31.73%
AAPL|20200626|315.00C,315.00,43.00,-12.22%,43.55,44.18,44.80,7.67,+21.71%,0.00%,11,1.118,Call,4,06/26/20,06/22/20,31.73%
AAPL|20200626|317.50C,317.50,41.30,-11.53%,41.10,41.85,42.60,8.14,+24.55%,0.00%,21,455,Call,4,06/26/20,06/22/20,31.73%
AAPL|20200626|320.00C,320.00,38.34,-10.83%,38.90,39.43,39.95,7.87,+25.83%,0.00%,182,1.025,Call,4,06/26/20,06/22/20,31.73%
AAPL|20200626|322.50C,322.50,37.00,-10.13%,36.05,36.93,37.80,10.80,+41.22%,26.36%,166,636,Call,4,06/26/20,06/22/20,31.73%
AAPL|20200626|325.00C,325.00,34.45,-9.44%,33.70,34.38,35.05,8.60,+33.27%,28.26%,263,933,Call,4,06/26/20,06/22/20,31.73%
AAPL|20200626|327.50C,327.50,32.20,-8.74%,31.20,32.03,32.85,11.08,+52.46%,36.05%,140,490,Call,4,06/26/20,06/22/20,31.73%
AAPL|20200626|330.00C,330.00,29.76,-8.04%,28.80,29.30,29.80,8.56,+40.38%,37.54%,509,1.600,Call,4,06/26/20,06/22/20,31.73%
AAPL|20200626|332.50C,332.50,26.02,-7.35%,26.30,27.20,28.10,7.72,+42.19%,17.78%,67,496,Call,4,06/26/20,06/22/20,31.73%
AAPL|20200626|335.00C,335.00,24.44,-6.65%,23.85,24.40,24.95,7.59,+45.04%,32.02%,1.430,2.082,Call,4,06/26/20,06/22/20,31.73%
AAPL|20200626|337.50C,337.50,22.15,-5.95%,21.70,22.48,23.25,7.40,+50.17%,8.25%,250,1.449,Call,4,06/26/20,06/22/20,31.73%
AAPL|20200626|340.00C,340.00,19.55,-5.26%,19.15,19.63,20.10,6.95,+55.16%,4.97%,1.550,2.971,Call,4,06/26/20,06/22/20,31.73%
AAPL|20200626|342.50C,342.50,17.60,-4.56%,17.00,17.83,18.65,7.05,+66.82%,17.16%,676,1.217,Call,4,06/26/20,06/22/20,31.73%
AAPL|20200626|345.00C,345.00,15.40,-3.86%,14.55,14.93,15.30,6.30,+69.23%,25.81%,3.615,2.282,Call,4,06/26/20,06/22/20,31.73%
AAPL|20200626|347.50C,347.50,13.15,-3.17%,12.50,12.83,13.15,5.65,+75.33%,26.80%,2.054,2.090,Call,4,06/26/20,06/22/20,31.73%
AAPL|20200626|350.00C,350.00,11.00,-2.47%,10.55,10.83,11.10,5.00,+83.33%,27.12%,10.462,8.537,Call,4,06/26/20,06/22/20,31.73%
AAPL|20200626|352.50C,352.50,9.30,-1.78%,8.65,8.88,9.10,4.60,+97.87%,29.89%,13.364,4.599,Call,4,06/26/20,06/22/20,31.73%
AAPL|20200626|355.00C,355.00,7.10,-1.08%,7.10,7.23,7.35,3.40,+91.89%,26.71%,37.711,8.664,Call,4,06/26/20,06/22/20,31.73%
AAPL|20200626|357.50C,357.50,5.40,-0.38%,5.40,5.60,5.80,2.61,+93.55%,26.14%,18.298,3.378,Call,4,06/26/20,06/22/20,31.73%
AAPL|20200626|360.00C,360.00,4.25,+0.31%,4.25,4.35,4.45,2.15,+102.38%,27.67%,58.602,11.352,Call,4,06/26/20,06/22/20,31.73%
AAPL|20200626|362.50C,362.50,3.35,+1.01%,3.20,3.28,3.35,1.72,+105.52%,29.26%,15.069,2.771,Call,4,06/26/20,06/22/20,31.73%
AAPL|20200626|365.00C,365.00,2.38,+1.71%,2.30,2.40,2.49,1.29,+118.35%,28.89%,28.731,5.792,Call,4,06/26/20,06/22/20,31.73%
AAPL|20200626|367.50C,367.50,1.65,+2.40%,1.60,1.70,1.79,0.69,+71.88%,28.76%,8.893,2.033,Call,4,06/26/20,06/22/20,31.73%
AAPL|20200626|370.00C,370.00,1.22,+3.10%,1.15,1.19,1.24,0.48,+64.86%,29.76%,22.870,6.950,Call,4,06/26/20,06/22/20,31.73%
AAPL|20200626|372.50C,372.50,0.86,+3.80%,0.75,0.83,0.90,0.27,+45.76%,30.29%,8.199,2.114,Call,4,06/26/20,06/22/20,31.73%
AAPL|20200626|375.00C,375.00,0.65,+4.49%,0.60,0.62,0.64,0.17,+35.42%,31.52%,14.161,5.313,Call,4,06/26/20,06/22/20,31.73%
AAPL|20200626|380.00C,380.00,0.33,+5.89%,0.33,0.34,0.35,0.01,+3.13%,32.93%,12.855,5.221,Call,4,06/26/20,06/22/20,31.73%
AAPL|20200626|385.00C,385.00,0.21,+7.28%,0.20,0.21,0.21,-0.03,-12.50%,35.79%,5.161,2.924,Call,4,06/26/20,06/22/20,31.73%
AAPL|20200626|390.00C,390.00,0.13,+8.67%,0.13,0.14,0.14,-0.07,-35.00%,38.16%,4.866,3.810,Call,4,06/26/20,06/22/20,31.73%
AAPL|20200626|395.00C,395.00,0.09,+10.07%,0.09,0.10,0.11,-0.06,-40.00%,40.93%,1.920,1.326,Call,4,06/26/20,06/22/20,31.73%
AAPL|20200626|400.00C,400.00,0.08,+11.46%,0.06,0.08,0.09,-0.03,-27.27%,44.92%,3.779,5.746,Call,4,06/26/20,06/22/20,31.73%
AAPL|20200626|405.00C,405.00,0.05,+12.85%,0.04,0.05,0.06,-0.03,-37.50%,46.60%,589,708,Call,4,06/26/20,06/22/20,31.73%
AAPL|20200626|410.00C,410.00,0.05,+14.25%,0.04,0.05,0.06,-0.02,-28.57%,50.83%,861,742,Call,4,06/26/20,06/22/20,31.73%
AAPL|20200626|415.00C,415.00,0.03,+15.64%,0.03,0.04,0.05,-0.02,-40.00%,51.90%,1.599,747,Call,4,06/26/20,06/22/20,31.73%
AAPL|20200626|420.00C,420.00,0.02,+17.03%,0.02,0.03,0.04,-0.02,-50.00%,53.50%,928,887,Call,4,06/26/20,06/22/20,31.73%
AAPL|20200626|425.00C,425.00,0.02,+18.43%,0.02,0.03,0.03,-0.02,-50.00%,57.17%,789,1.144,Call,4,06/26/20,06/22/20,31.73%
AAPL|20200626|430.00C,430.00,0.02,+19.82%,0.01,0.02,0.03,-0.02,-50.00%,60.77%,976,1.038,Call,4,06/26/20,06/22/20,31.73%
AAPL|20200626|435.00C,435.00,0.02,+21.21%,0.01,0.02,0.02,-0.01,-33.33%,64.31%,469,1.670,Call,4,06/26/20,06/22/20,31.73%
AAPL|20200626|155.00P,155.00,0.01,-56.81%,0.00,0.08,0.15,0.01,unch,0.00%,1,8,Put,4,06/26/20,06/19/20,31.73%
AAPL|20200626|160.00P,160.00,0.10,-55.42%,0.00,0.08,0.16,0.10,unch,0.00%,0,50,Put,4,06/26/20,N/A,31.73%
AAPL|20200626|165.00P,165.00,0.00,-54.02%,0.00,0.08,0.16,0.00,unch,0.00%,0,0,Put,4,06/26/20,N/A,31.73%
AAPL|20200626|170.00P,170.00,0.09,-52.63%,0.00,0.08,0.15,0.09,unch,0.00%,0,7,Put,4,06/26/20,N/A,31.73%
AAPL|20200626|175.00P,175.00,0.02,-51.24%,0.00,0.07,0.14,0.02,unch,0.00%,0,6,Put,4,06/26/20,N/A,31.73%
AAPL|20200626|180.00P,180.00,0.10,-49.84%,0.00,0.08,0.16,0.07,+233.33%,255.22%,1,122,Put,4,06/26/20,06/22/20,31.73%
AAPL|20200626|185.00P,185.00,0.01,-48.45%,0.00,0.08,0.16,0.01,unch,0.00%,25,25,Put,4,06/26/20,06/15/20,31.73%
AAPL|20200626|190.00P,190.00,0.11,-47.06%,0.00,0.08,0.15,0.11,unch,0.00%,0,30,Put,4,06/26/20,N/A,31.73%
AAPL|20200626|195.00P,195.00,0.01,-45.66%,0.00,0.01,0.01,0.00,unch,184.11%,10,1.970,Put,4,06/26/20,06/22/20,31.73%
AAPL|20200626|200.00P,200.00,0.03,-44.27%,0.00,0.01,0.01,0.03,unch,0.00%,10,161,Put,4,06/26/20,06/15/20,31.73%
AAPL|20200626|205.00P,205.00,0.01,-42.88%,0.00,0.01,0.01,-0.03,-75.00%,169.89%,10,707,Put,4,06/26/20,06/22/20,31.73%
AAPL|20200626|210.00P,210.00,0.02,-41.48%,0.00,0.01,0.01,-0.02,-50.00%,0.00%,191,255,Put,4,06/26/20,06/19/20,31.73%
AAPL|20200626|215.00P,215.00,0.02,-40.09%,0.00,0.01,0.01,0.01,+100.00%,0.00%,334,374,Put,4,06/26/20,06/19/20,31.73%
AAPL|20200626|220.00P,220.00,0.01,-38.70%,0.00,0.01,0.01,-0.01,-50.00%,0.00%,1,498,Put,4,06/26/20,06/19/20,31.73%
AAPL|20200626|225.00P,225.00,0.03,-37.30%,0.00,0.01,0.01,0.02,+200.00%,0.00%,738,766,Put,4,06/26/20,06/19/20,31.73%
AAPL|20200626|230.00P,230.00,0.03,-35.91%,0.00,0.01,0.01,0.02,+200.00%,0.00%,448,808,Put,4,06/26/20,06/19/20,31.73%
AAPL|20200626|235.00P,235.00,0.03,-34.52%,0.00,0.01,0.01,-0.01,-25.00%,0.00%,241,405,Put,4,06/26/20,06/19/20,31.73%
AAPL|20200626|240.00P,240.00,0.01,-33.12%,0.00,0.01,0.01,-0.03,-75.00%,124.83%,12,1.146,Put,4,06/26/20,06/22/20,31.73%
AAPL|20200626|245.00P,245.00,0.01,-31.73%,0.00,0.01,0.01,-0.02,-66.67%,118.89%,221,423,Put,4,06/26/20,06/22/20,31.73%
AAPL|20200626|250.00P,250.00,0.01,-30.34%,0.00,0.01,0.01,-0.04,-80.00%,113.06%,66,662,Put,4,06/26/20,06/22/20,31.73%
AAPL|20200626|255.00P,255.00,0.01,-28.94%,0.00,0.01,0.01,-0.04,-80.00%,107.34%,15,587,Put,4,06/26/20,06/22/20,31.73%
AAPL|20200626|260.00P,260.00,0.01,-27.55%,0.01,0.01,0.01,-0.09,-90.00%,101.71%,477,490,Put,4,06/26/20,06/22/20,31.73%
AAPL|20200626|265.00P,265.00,0.02,-26.16%,0.01,0.02,0.02,-0.07,-77.78%,102.23%,47,978,Put,4,06/26/20,06/22/20,31.73%
AAPL|20200626|270.00P,270.00,0.02,-24.76%,0.01,0.02,0.02,-0.08,-80.00%,96.48%,261,810,Put,4,06/26/20,06/22/20,31.73%
AAPL|20200626|275.00P,275.00,0.02,-23.37%,0.01,0.03,0.06,-0.09,-81.82%,90.82%,277,1.556,Put,4,06/26/20,06/22/20,31.73%
AAPL|20200626|277.50P,277.50,0.03,-22.67%,0.01,0.03,0.04,-0.11,-78.57%,91.57%,7,268,Put,4,06/26/20,06/22/20,31.73%
AAPL|20200626|280.00P,280.00,0.02,-21.98%,0.02,0.05,0.07,-0.11,-84.62%,85.24%,379,821,Put,4,06/26/20,06/22/20,31.73%
AAPL|20200626|282.50P,282.50,0.04,-21.28%,0.02,0.03,0.04,-0.13,-76.47%,88.44%,20,424,Put,4,06/26/20,06/22/20,31.73%
AAPL|20200626|285.00P,285.00,0.03,-20.58%,0.02,0.03,0.04,-0.13,-81.25%,82.99%,345,934,Put,4,06/26/20,06/22/20,31.73%
AAPL|20200626|287.50P,287.50,0.03,-19.89%,0.01,0.06,0.11,-0.25,-89.29%,80.17%,534,174,Put,4,06/26/20,06/22/20,31.73%
AAPL|20200626|290.00P,290.00,0.04,-19.19%,0.03,0.04,0.05,-0.18,-81.82%,79.75%,241,1.563,Put,4,06/26/20,06/22/20,31.73%
AAPL|20200626|292.50P,292.50,0.05,-18.49%,0.02,0.04,0.05,-0.20,-80.00%,78.82%,382,270,Put,4,06/26/20,06/22/20,31.73%
AAPL|20200626|295.00P,295.00,0.05,-17.80%,0.04,0.05,0.05,-0.22,-81.48%,75.92%,1.251,723,Put,4,06/26/20,06/22/20,31.73%
AAPL|20200626|297.50P,297.50,0.06,-17.10%,0.05,0.06,0.07,-0.24,-80.00%,74.59%,247,421,Put,4,06/26/20,06/22/20,31.73%
AAPL|20200626|300.00P,300.00,0.07,-16.40%,0.06,0.07,0.07,-0.24,-77.42%,73.01%,1.681,3.150,Put,4,06/26/20,06/22/20,31.73%
AAPL|20200626|302.50P,302.50,0.08,-15.71%,0.06,0.08,0.10,-0.30,-78.95%,71.24%,197,678,Put,4,06/26/20,06/22/20,31.73%
AAPL|20200626|305.00P,305.00,0.09,-15.01%,0.05,0.08,0.11,-0.25,-73.53%,69.30%,736,2.353,Put,4,06/26/20,06/22/20,31.73%
AAPL|20200626|307.50P,307.50,0.10,-14.31%,0.08,0.10,0.12,-0.33,-76.74%,67.22%,274,476,Put,4,06/26/20,06/22/20,31.73%
AAPL|20200626|310.00P,310.00,0.12,-13.62%,0.11,0.12,0.13,-0.34,-73.91%,65.83%,806,2.120,Put,4,06/26/20,06/22/20,31.73%
AAPL|20200626|312.50P,312.50,0.15,-12.92%,0.10,0.12,0.14,-0.42,-73.68%,64.81%,439,1.466,Put,4,06/26/20,06/22/20,31.73%
AAPL|20200626|315.00P,315.00,0.17,-12.22%,0.15,0.16,0.16,-0.44,-72.13%,62.84%,2.702,2.248,Put,4,06/26/20,06/22/20,31.73%
AAPL|20200626|317.50P,317.50,0.19,-11.53%,0.13,0.22,0.30,-0.46,-70.77%,60.70%,512,2.413,Put,4,06/26/20,06/22/20,31.73%
AAPL|20200626|320.00P,320.00,0.20,-10.83%,0.19,0.21,0.22,-0.55,-73.33%,57.96%,3.928,4.138,Put,4,06/26/20,06/22/20,31.73%
AAPL|20200626|322.50P,322.50,0.25,-10.13%,0.22,0.26,0.29,-0.60,-70.59%,56.82%,626,1.905,Put,4,06/26/20,06/22/20,31.73%
AAPL|20200626|325.00P,325.00,0.27,-9.44%,0.25,0.30,0.34,-0.71,-72.45%,54.23%,2.618,3.258,Put,4,06/26/20,06/22/20,31.73%
AAPL|20200626|327.50P,327.50,0.31,-8.74%,0.15,0.25,0.34,-0.76,-71.03%,52.18%,1.043,1.558,Put,4,06/26/20,06/22/20,31.73%
AAPL|20200626|330.00P,330.00,0.37,-8.04%,0.35,0.39,0.43,-0.93,-71.54%,50.46%,8.424,8.058,Put,4,06/26/20,06/22/20,31.73%
AAPL|20200626|332.50P,332.50,0.41,-7.35%,0.27,0.41,0.54,-0.87,-67.97%,47.94%,2.943,3.116,Put,4,06/26/20,06/22/20,31.73%
AAPL|20200626|335.00P,335.00,0.50,-6.65%,0.49,0.50,0.51,-1.46,-74.49%,46.33%,5.107,5.309,Put,4,06/26/20,06/22/20,31.73%
AAPL|20200626|337.50P,337.50,0.59,-5.95%,0.50,0.57,0.63,-1.64,-73.54%,44.31%,2.616,1.782,Put,4,06/26/20,06/22/20,31.73%
AAPL|20200626|340.00P,340.00,0.73,-5.26%,0.70,0.77,0.85,-2.03,-73.55%,42.74%,25.007,9.103,Put,4,06/26/20,06/22/20,31.73%
AAPL|20200626|342.50P,342.50,0.92,-4.56%,0.87,0.97,1.06,-2.53,-73.33%,41.35%,4.713,2.257,Put,4,06/26/20,06/22/20,31.73%
AAPL|20200626|345.00P,345.00,1.11,-3.86%,1.11,1.17,1.22,-2.94,-72.59%,39.36%,12.986,9.313,Put,4,06/26/20,06/22/20,31.73%
AAPL|20200626|347.50P,347.50,1.47,-3.17%,1.29,1.42,1.55,-3.73,-71.73%,38.60%,8.692,2.716,Put,4,06/26/20,06/22/20,31.73%
AAPL|20200626|350.00P,350.00,1.88,-2.47%,1.88,1.94,2.00,-4.40,-70.06%,37.40%,24.437,5.472,Put,4,06/26/20,06/22/20,31.73%
AAPL|20200626|352.50P,352.50,2.50,-1.78%,2.27,2.53,2.79,-4.80,-65.75%,37.02%,10.400,1.855,Put,4,06/26/20,06/22/20,31.73%
AAPL|20200626|355.00P,355.00,3.35,-1.08%,3.20,3.28,3.35,-5.60,-62.57%,37.23%,23.091,3.788,Put,4,06/26/20,06/22/20,31.73%
AAPL|20200626|357.50P,357.50,4.25,-0.38%,4.10,4.28,4.45,-6.15,-59.13%,36.61%,5.687,589,Put,4,06/26/20,06/22/20,31.73%
AAPL|20200626|360.00P,360.00,5.40,+0.31%,5.25,5.40,5.55,-7.00,-56.45%,36.50%,6.262,1.456,Put,4,06/26/20,06/22/20,31.73%
AAPL|20200626|362.50P,362.50,6.60,+1.01%,6.60,6.93,7.25,-10.07,-60.41%,35.52%,592,181,Put,4,06/26/20,06/22/20,31.73%
AAPL|20200626|365.00P,365.00,8.20,+1.71%,8.15,8.53,8.90,-8.10,-49.69%,36.02%,4.064,261,Put,4,06/26/20,06/22/20,31.73%
AAPL|20200626|367.50P,367.50,10.90,+2.40%,10.05,10.30,10.55,-10.50,-49.07%,43.47%,138,53,Put,4,06/26/20,06/22/20,31.73%
AAPL|20200626|370.00P,370.00,12.20,+3.10%,12.05,12.35,12.65,-8.77,-41.82%,39.80%,414,184,Put,4,06/26/20,06/22/20,31.73%
AAPL|20200626|372.50P,372.50,15.71,+3.80%,13.55,14.23,14.90,-4.79,-23.37%,52.98%,31,11,Put,4,06/26/20,06/22/20,31.73%
AAPL|20200626|375.00P,375.00,16.95,+4.49%,16.35,16.73,17.10,-8.80,-34.17%,47.29%,385,62,Put,4,06/26/20,06/22/20,31.73%
AAPL|20200626|380.00P,380.00,21.26,+5.89%,20.95,21.50,22.05,-9.29,-30.41%,48.88%,99,68,Put,4,06/26/20,06/22/20,31.73%
AAPL|20200626|385.00P,385.00,25.85,+7.28%,25.65,26.55,27.45,-7.70,-22.95%,51.32%,207,41,Put,4,06/26/20,06/22/20,31.73%
AAPL|20200626|390.00P,390.00,37.39,+8.67%,30.60,31.25,31.90,-5.11,-12.02%,120.48%,1,10,Put,4,06/26/20,06/22/20,31.73%
AAPL|20200626|395.00P,395.00,36.90,+10.07%,35.45,36.23,37.00,-15.80,-29.98%,79.13%,10,45,Put,4,06/26/20,06/22/20,31.73%
AAPL|20200626|400.00P,400.00,48.25,+11.46%,40.45,41.03,41.60,48.25,unch,74.27%,49,83,Put,4,06/26/20,06/17/20,31.73%
AAPL|20200626|405.00P,405.00,0.00,+12.85%,45.45,46.18,46.90,0.00,unch,83.05%,0,8,Put,4,06/26/20,N/A,31.73%
AAPL|20200626|410.00P,410.00,53.25,+14.25%,50.45,51.15,51.85,53.25,unch,116.25%,2,5,Put,4,06/26/20,06/22/20,31.73%
AAPL|20200626|415.00P,415.00,60.85,+15.64%,54.35,55.60,56.85,-4.05,-6.24%,84.40%,10,12,Put,4,06/26/20,06/17/20,31.73%
AAPL|20200626|420.00P,420.00,68.30,+17.03%,59.55,60.70,61.85,68.30,unch,92.18%,34,24,Put,4,06/26/20,06/18/20,31.73%
AAPL|20200626|425.00P,425.00,69.70,+18.43%,64.45,65.63,66.80,-5.65,-7.50%,153.00%,4,16,Put,4,06/26/20,06/22/20,31.73%
AAPL|20200626|430.00P,430.00,0.00,+19.82%,69.75,71.05,72.35,0.00,unch,110.50%,0,0,Put,4,06/26/20,N/A,31.73%
AAPL|20200626|435.0P,435.00,88.80,+21.21%,74.60,75.95,77.30,5.95,+7.18%,113.89%,10,86,Put,4,06/26/20,06/19/20,31.73%
